index.html:314 The specified value "age here" cannot be parsed, or is out of range.
index.html:217 Received JSON:  {t: "30.22", p: "0.42"}
index.html:217 Received JSON:  {t: "30.22", p: "1.29"}
index.html:217 Received JSON:  {t: "30.22", p: "0.42"}
index.html:217 Received JSON:  {t: "30.22", p: "1.01"}
index.html:217 Received JSON:  {t: "30.23", p: "0.14"}
index.html:217 Received JSON:  {t: "30.22", p: "-0.16"}
index.html:217 Received JSON:  {t: "30.23", p: "-0.16"}
index.html:217 Received JSON:  {t: "30.22", p: "-0.17"}
index.html:217 Received JSON:  {t: "30.22", p: "0.71"}
index.html:217 Received JSON:  {t: "30.22", p: "-0.16"}
index.html:217 Received JSON:  {t: "30.23", p: "-0.16"}
index.html:217 Received JSON:  {t: "30.22", p: "0.13"}
index.html:217 Received JSON:  {t: "30.23", p: "-0.16"}
index.html:217 Received JSON:  {t: "30.23", p: "0.14"}
index.html:217 Received JSON:  {t: "30.23", p: "0.43"}
index.html:217 Received JSON:  {t: "30.23", p: "1.02"}
index.html:217 Received JSON:  {t: "30.23", p: "0.42"}
index.html:217 Received JSON:  {t: "30.23", p: "0.43"}
index.html:217 Received JSON:  {t: "30.23", p: "0.72"}
index.html:217 Received JSON:  {t: "30.23", p: "0.42"}
index.html:217 Received JSON:  {t: "30.23", p: "1.29"}
index.html:217 Received JSON:  {t: "30.23", p: "1.31"}
index.html:217 Received JSON:  {t: "30.23", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "0.73"}
index.html:217 Received JSON:  {t: "30.24", p: "1.31"}
index.html:217 Received JSON:  {t: "30.24", p: "1.59"}
index.html:217 Received JSON:  {t: "30.24", p: "1.61"}
index.html:217 Received JSON:  {t: "30.24", p: "1.31"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "0.72"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "1.61"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "0.74"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "1.61"}
index.html:217 Received JSON:  {t: "30.25", p: "1.62"}
index.html:217 Received JSON:  {t: "30.25", p: "1.03"}
index.html:217 Received JSON:  {t: "30.25", p: "0.75"}
index.html:217 Received JSON:  {t: "30.25", p: "1.33"}
index.html:191 MAX:
index.html:192 1.1956066668451306
index.html:217 Received JSON:  {t: "30.25", p: "0.74"}
index.html:217 Received JSON:  {t: "30.26", p: "1.62"}
index.html:217 Received JSON:  {t: "30.25", p: "1.33"}
index.html:217 Received JSON:  {t: "30.26", p: "1.63"}
index.html:217 Received JSON:  {t: "30.26", p: "1.34"}
index.html:217 Received JSON:  {t: "30.26", p: "1.05"}
index.html:217 Received JSON:  {t: "30.26", p: "1.05"}
index.html:217 Received JSON:  {t: "30.27", p: "1.34"}
index.html:217 Received JSON:  {t: "30.26", p: "0.46"}
index.html:217 Received JSON:  {t: "30.27", p: "0.47"}
index.html:217 Received JSON:  {t: "30.27", p: "1.06"}
index.html:217 Received JSON:  {t: "30.27", p: "0.76"}
index.html:217 Received JSON:  {t: "30.27", p: "0.47"}
index.html:217 Received JSON:  {t: "30.27", p: "0.47"}
index.html:191 MAX:
index.html:192 1.228469245171492
index.html:217 Received JSON:  {t: "30.28", p: "1.06"}
index.html:217 Received JSON:  {t: "30.28", p: "0.77"}
index.html:217 Received JSON:  {t: "30.28", p: "0.49"}
index.html:217 Received JSON:  {t: "30.28", p: "0.48"}
index.html:217 Received JSON:  {t: "30.28", p: "0.78"}
index.html:217 Received JSON:  {t: "30.28", p: "0.19"}
index.html:217 Received JSON:  {t: "30.29", p: "-0.09"}
index.html:217 Received JSON:  {t: "30.28", p: "0.19"}
index.html:217 Received JSON:  {t: "30.28", p: "-0.10"}
index.html:217 Received JSON:  {t: "30.29", p: "0.21"}
index.html:217 Received JSON:  {t: "30.29", p: "1.08"}
index.html:217 Received JSON:  {t: "30.29", p: "0.79"}
index.html:217 Received JSON:  {t: "30.31", p: "0.51"}
index.html:217 Received JSON:  {t: "30.29", p: "-0.38"}
index.html:217 Received JSON:  {t: "30.31", p: "0.51"}
index.html:217 Received JSON:  {t: "30.31", p: "-0.08"}
index.html:217 Received JSON:  {t: "30.30", p: "0.49"}
index.html:217 Received JSON:  {t: "30.31", p: "-0.08"}
index.html:217 Received JSON:  {t: "30.31", p: "0.22"}
index.html:217 Received JSON:  {t: "30.31", p: "0.79"}
index.html:217 Received JSON:  {t: "30.31", p: "0.51"}
index.html:217 Received JSON:  {t: "30.32", p: "1.09"}
index.html:217 Received JSON:  {t: "30.32", p: "0.81"}
index.html:217 Received JSON:  {t: "30.32", p: "0.82"}
index.html:217 Received JSON:  {t: "30.32", p: "1.39"}
index.html:217 Received JSON:  {t: "30.33", p: "1.11"}
index.html:217 Received JSON:  {t: "30.33", p: "1.41"}
index.html:217 Received JSON:  {t: "30.32", p: "1.39"}
index.html:217 Received JSON:  {t: "30.33", p: "1.41"}
index.html:217 Received JSON:  {t: "30.34", p: "1.41"}
index.html:217 Received JSON:  {t: "30.34", p: "1.12"}
index.html:217 Received JSON:  {t: "30.34", p: "1.41"}
index.html:217 Received JSON:  {t: "30.34", p: "0.84"}
index.html:217 Received JSON:  {t: "30.35", p: "0.84"}
index.html:217 Received JSON:  {t: "30.35", p: "0.26"}
index.html:217 Received JSON:  {t: "30.35", p: "0.84"}
