29.33	0.79
29.32	1.08
29.32	0.49
29.32	0.19
29.33	0.22
29.32	0.21
29.32	0.19
29.32	0.78
29.32	0.21
29.32	0.49
29.32	-0.08
29.32	-0.09
29.32	1.07
29.33	0.49
29.32	0.78
29.32	0.19
29.32	-0.08
29.32	0.49
29.32	0.19
29.32	0.78
29.32	0.49
29.32	0.78
29.33	0.79
29.32	0.19
29.32	0.49
29.33	0.49
29.32	1.37
29.32	0.78
29.33	1.08
29.32	1.37
29.32	0.21
29.33	0.22
29.33	0.79
29.32	0.21
29.33	0.22
29.33	0.22
29.33	0.51
29.33	0.22
29.34	0.52
29.33	1.08
29.34	0.52
29.34	0.81
29.34	1.09
29.34	0.81
29.34	0.81
29.34	0.23
29.34	0.81
29.34	0.81
29.35	0.82
29.35	0.82
29.35	0.24
29.35	0.53
29.35	1.39
29.35	1.69
29.35	0.83
29.35	0.83
29.35	1.12
29.35	0.54
29.36	-0.03
29.36	0.84
29.36	1.13
29.36	0.84
29.37	1.43
29.37	0.56
29.37	0.86
29.37	0.86
29.37	1.43
29.38	0.28
29.38	0.86
29.39	-0.28
29.38	0.87
29.39	0.29
29.39	1.16
29.39	0.59
29.39	1.17
29.39	0.88
29.39	0.02
29.40	0.89
29.40	1.18
29.40	0.32
29.40	0.59
29.41	0.33
29.41	0.33
29.41	0.04
29.41	0.33
29.42	0.63
29.42	0.63
29.42	0.92
29.43	0.35
29.43	0.64
29.43	0.35
29.43	0.64
29.43	0.37
29.44	0.66
29.44	0.08
29.44	0.66
29.44	0.38
29.44	1.53
29.45	0.96
29.45	0.97
29.45	0.97
29.46	0.97
29.46	0.97
29.46	0.97
29.46	0.98
29.47	1.28
29.53	1.07
29.54	0.52
29.53	0.21
29.55	0.82
29.55	1.09
29.55	0.24
29.55	0.24
29.56	0.54
29.56	0.25
29.79	0.29
29.79	1.16
29.80	0.59
29.81	1.47
29.81	0.59
29.81	0.32
29.82	0.89
29.82	0.61
29.83	0.63
29.83	0.63
29.83	0.92
29.84	0.64
29.84	0.64
29.85	0.94
29.85	0.66
29.85	0.95
29.86	0.97
29.86	0.68
29.87	0.97
29.87	1.26
29.88	0.69
29.88	1.27
29.88	1.58
29.88	0.12
29.88	0.99
29.89	1.01
29.90	1.31
29.90	1.02
29.90	1.02
29.91	0.74
29.91	1.32
29.92	1.63
29.92	1.63
29.93	1.06
29.93	1.07
29.94	0.19
29.94	1.08
29.95	0.51
29.95	0.22
29.95	1.08
29.96	1.09
29.96	1.69
29.96	1.09
29.97	1.41
29.98	1.13
29.99	1.43
29.98	1.13
29.99	1.14
30.00	1.16
29.99	0.57
30.01	1.17
30.00	0.88
30.02	0.61
30.02	0.32
30.03	0.62
30.03	0.62
30.04	0.63
30.04	0.64
30.04	0.35
30.05	0.37
30.06	0.66
30.06	0.37
30.07	0.67
30.07	0.38
30.07	0.97
30.07	0.68
30.08	0.98
30.08	0.98
30.09	1.28
30.08	0.99
30.09	1.29
30.09	0.72
30.10	1.01
30.10	1.01
30.11	0.73
30.12	1.32
30.12	1.32
30.13	0.76
30.13	1.34
30.13	0.48
30.14	1.35
30.14	1.36
30.14	1.36
